LXT2 info: dumpfile dump.lx2 opened for output.
rst=x, ns=x, sinxxxxxxxxxxxxxxxx, multiple=xxxxxxxx sout=xxxxxxxxxxxxxxxx
rst=0, ns=0, sinxxxxxxxxxxxxxxxx, multiple=xxxxxxxx sout=xxxxxxxxxxxxxxxx
rst=1, ns=1, sin0001010101010101, multiple=xxxxxxxx sout=0001010101010101
rst=0, ns=0, sin0001010101010101, multiple=xxxxxxxx sout=xxxxxxxxxxxxxxxx
rst=0, ns=0, sin0001010101010101, multiple=10000000 sout=0000010101010101
rst=0, ns=0, sin0001010101010101, multiple=01111101 sout=0000010100110101
rst=0, ns=0, sin0001010101010101, multiple=01111010 sout=0000010100010101
rst=0, ns=0, sin0001010101010101, multiple=01111000 sout=0000010011111111
rst=0, ns=0, sin0001010101010101, multiple=01110101 sout=0000010011011111
rst=0, ns=0, sin0001010101010101, multiple=01110011 sout=0000010011001010
rst=0, ns=0, sin0001010101010101, multiple=01110000 sout=0000010010101010
rst=0, ns=0, sin0001010101010101, multiple=01101110 sout=0000010010010101
rst=0, ns=0, sin0001010101010101, multiple=01101100 sout=0000010001111111
rst=0, ns=0, sin0001010101010101, multiple=01101010 sout=0000010001101010
rst=0, ns=0, sin0001010101010101, multiple=01100111 sout=0000010001001010
rst=0, ns=0, sin0001010101010101, multiple=01100101 sout=0000010000110101
rst=0, ns=0, sin0001010101010101, multiple=01100011 sout=0000010000011111
rst=0, ns=0, sin0001010101010101, multiple=01100001 sout=0000010000001010
rst=0, ns=0, sin0001010101010101, multiple=01011111 sout=0000001111110101
rst=0, ns=0, sin0001010101010101, multiple=01011101 sout=0000001111011111
rst=0, ns=0, sin0001010101010101, multiple=01011011 sout=0000001111001010
rst=0, ns=0, sin0001010101010101, multiple=01011001 sout=0000001110110101
rst=0, ns=0, sin0001010101010101, multiple=01010111 sout=0000001110011111
rst=0, ns=0, sin0001010101010101, multiple=01010110 sout=0000001110010101
rst=0, ns=0, sin0001010101010101, multiple=01010100 sout=0000001101111111
rst=0, ns=0, sin0001010101010101, multiple=01010010 sout=0000001101101010
rst=0, ns=0, sin0001010101010101, multiple=01010001 sout=0000001101011111
rst=0, ns=0, sin0001010101010101, multiple=01010000 sout=0000001101010101
rst=0, ns=0, sin0001010101010101, multiple=01001111 sout=0000001101001010
rst=0, ns=0, sin0001010101010101, multiple=01001101 sout=0000001100110101
rst=0, ns=0, sin0001010101010101, multiple=01001100 sout=0000001100101010
rst=0, ns=0, sin0001010101010101, multiple=01001010 sout=0000001100010101
rst=0, ns=0, sin0001010101010101, multiple=01001000 sout=0000001011111111
rst=0, ns=0, sin0001010101010101, multiple=01000101 sout=0000001011011111
rst=0, ns=0, sin0001010101010101, multiple=01000100 sout=0000001011010101
rst=0, ns=0, sin0001010101010101, multiple=01000011 sout=0000001011001010
rst=0, ns=0, sin0001010101010101, multiple=01000001 sout=0000001010110101
rst=0, ns=0, sin0001010101010101, multiple=01000000 sout=0000001010101010
rst=0, ns=0, sin0001010101010101, multiple=00111111 sout=0000001010011111
rst=0, ns=0, sin0001010101010101, multiple=00111101 sout=0000001010001010
rst=0, ns=0, sin0001010101010101, multiple=00111100 sout=0000001001111111
rst=0, ns=0, sin0001010101010101, multiple=00111011 sout=0000001001110101
rst=0, ns=0, sin0001010101010101, multiple=00111001 sout=0000001001011111
rst=0, ns=0, sin0001010101010101, multiple=00111000 sout=0000001001010101
rst=0, ns=0, sin0001010101010101, multiple=00110111 sout=0000001001001010
rst=0, ns=0, sin0001010101010101, multiple=00110110 sout=0000001000111111
rst=0, ns=0, sin0001010101010101, multiple=00110101 sout=0000001000110101
rst=0, ns=0, sin0001010101010101, multiple=00110100 sout=0000001000101010
rst=0, ns=0, sin0001010101010101, multiple=00110011 sout=0000001000011111
rst=0, ns=0, sin0001010101010101, multiple=00110010 sout=0000001000010101
rst=0, ns=0, sin0001010101010101, multiple=00110001 sout=0000001000001010
rst=0, ns=0, sin0001010101010101, multiple=00110000 sout=0000000111111111
rst=0, ns=0, sin0001010101010101, multiple=00101111 sout=0000000111110101
rst=0, ns=0, sin0001010101010101, multiple=00101110 sout=0000000111101010
rst=0, ns=0, sin0001010101010101, multiple=00101101 sout=0000000111011111
rst=0, ns=0, sin0001010101010101, multiple=00101100 sout=0000000111010101
rst=0, ns=0, sin0001010101010101, multiple=00101011 sout=0000000111001010
rst=0, ns=0, sin0001010101010101, multiple=00101010 sout=0000000110111111
rst=0, ns=0, sin0001010101010101, multiple=00101001 sout=0000000110110101
rst=0, ns=0, sin0001010101010101, multiple=00101000 sout=0000000110101010
rst=0, ns=0, sin0001010101010101, multiple=00100111 sout=0000000110011111
rst=0, ns=0, sin0001010101010101, multiple=00100111 sout=0000000110011111
rst=0, ns=0, sin0001010101010101, multiple=00100110 sout=0000000110010101
rst=0, ns=0, sin0001010101010101, multiple=00100101 sout=0000000110001010
rst=0, ns=0, sin0001010101010101, multiple=00100100 sout=0000000101111111
rst=0, ns=0, sin0001010101010101, multiple=00100011 sout=0000000101110101
rst=0, ns=0, sin0001010101010101, multiple=00100011 sout=0000000101110101
rst=0, ns=0, sin0001010101010101, multiple=00100010 sout=0000000101101010
