LXT2 info: dumpfile dump.lx2 opened for output.
DVI display: image display.ppm opened for output.
o1=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o2=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o3=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o4=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o5=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
o1=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o2=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o3=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o4=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, o5=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
o1=0000000000000000000000000000000000, o2=0000000000000000000000000000000000, o3=0000000000000000000000000000000000, o4=0000000000000000000000000000000000, o5=0000000000000000000000000000000000
o1=6201118087e31018804020090142614100, o2=0000000000000000000000000000000000, o3=0000000000000000000000000000000000, o4=0000000000000000000000000000000000, o5=0000000000000000000000000000000000
o1=62061008040120284c2820090142614100, o2=6201118087e31018804020090142614100, o3=0000000000000000000000000000000000, o4=0000000000000000000000000000000000, o5=0000000000000000000000000000000000
o1=62061008040120284c28201981846071f8, o2=62061008040120284c2820090142614100, o3=6201118087e31018804020090142614100, o4=0000000000000000000000000000000000, o5=0000000000000000000000000000000000
o1=6404118147e31010804020190104020100, o2=62061008040120284c28201981846071f8, o3=62061008040120284c2820090142614100, o4=6201118087e31018804020090142614100, o5=0000000000000000000000000000000000
o1=6404118147e31010804020190104020100, o2=62061008040120284c28201981846071f8, o3=62061008040120284c2820090142614100, o4=6201118087e31018804020090142614100, o5=0000000000000000000000000000000000
o1=68061181c7e33010804020198184020100, o2=6404118147e31010804020190104020100, o3=62061008040120284c28201981846071f8, o4=62061008040120284c2820090142614100, o5=6201118087e31018804020090142614100
o1=6401118087e330308040201901846071f8, o2=68061181c7e33010804020198184020100, o3=6404118147e31010804020190104020100, o4=62061008040120284c28201981846071f8, o5=62061008040120284c2820090142614100
o1=62031008040310108040201880446021f8, o2=6401118087e330308040201901846071f8, o3=68061181c7e33010804020198184020100, o4=6404118147e31010804020190104020100, o5=62061008040120284c28201981846071f8
o1=6a01100804032008804020190144020100, o2=62031008040310108040201880446021f8, o3=6401118087e330308040201901846071f8, o4=68061181c7e33010804020198184020100, o5=6404118147e31010804020190104020100
